preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
171400,0781;7;4;1;1;1;52,47000122;7;850,4622803;825,6652832;4601,5;1095,161011;3266,629883
503400,5938;5;8;4;3;3;173,3699951;30;1649,371948;1399,463013;730,5759888;961,8660889;2903,620117
72999,75;3;9;2;1;1;53,22000122;24;1080,703003;156,017395;951,1447144;2881,312988;1371,660034
206399,7188;6;12;3;2;1;67,70999908;24;1532,081055;322,9555969;4502,48291;1074,390991;3048,290039
113000,0234;4;12;2;1;1;53,5;14;643,210022;267,5466919;1893,917969;5308,579102;2112,149902
134999,8906;2;3;1;1;1;35;13;1403,564941;2118,083008;308,565094;4187,581055;3857,139893
1480999,375;6;8;4;4;4;246,4499969;19;1681,89502;1742,749023;2232,873047;716,3474731;6009,330078
219574,4531;4;2;2;2;1;77,12999725;28;977,7567139;3053,190918;664,4099731;3256,781006;2846,810059
264999,6875;7;11;3;2;2;88;31;1351,499023;338,1289063;2839,387939;4536,952148;3011,360107
71999,95313;6;4;2;1;0;44,25999832;28;355,418396;443,0154114;5757,466797;5638,14502;1626,75
129000,2969;4;8;2;2;1;65;24;2463,840088;1607,446045;1192,192993;3785,629883;1984,619995
217999,5156;2;3;4;2;2;106,75;21;301,9776001;755,6865234;235,9783936;6565,101074;2042,150024
85897,78906;6;4;2;1;1;52,09999847;20;1178,761963;160,5346069;1486,505005;1531,297974;1648,709961
316999,6875;6;12;4;3;3;128;37;2311,791992;1388,004028;393,4829102;5739,022949;2476,560059
129200,0703;7;10;1;1;1;29,73999977;31;954,8847046;1636,119019;3816,125;1909,792969;4344,319824
554562,6875;7;7;4;3;3;138;24;1790,093994;2423,605957;988,333374;944,8571777;4018,570068
138787,1406;2;6;1;1;1;40,68000031;30;469,4143066;1450,515991;1686,484009;837,7633057;3411,679932
617189,8125;3;6;3;3;3;198;10;1938,708008;844,9608154;4271,071777;1903,56897;3117,120117
139000,0469;6;7;3;2;1;81;0;1174,084961;170,277298;1129,416016;1175,352051;1716,050049
247000,5;7;5;4;3;3;128,3999939;22;2219,414063;677,3991699;510,4956055;5440,758789;1923,680054
220000,4063;3;2;3;2;2;98,19999695;25;1257,151001;796,927124;1504,109009;1899,748047;2240,330078
164559,6719;2;5;3;2;2;92,09999847;29;1113,432007;699,0462036;2640,024902;2438,513916;1786,75
760389,125;5;5;4;4;3;185,4299927;34;1282,223999;2155,364014;324,816803;4242,978027;4100,680176
184300,2344;8;1;2;2;1;62,15000153;22;1893,019043;784,9763794;525,8010864;5466,21582;2965,409912
947800,1875;2;9;3;3;4;249,6300049;30;826,5772095;3247,759033;803,5244141;3474,199951;3796,820068
